country_scope,sample,temperature_c,residence_time_min,h2so4_wt_pct,ca_so4_proxy_wt_pct,si_al_fe_proxy_wt_pct,chemical_purity_wt_pct,chemical_purity_sd_wt_pct,source_locator,article_url,data_deposit_url,status
UK,GRPW batch 1,,,,94.3,1.6,95.9,0.7,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,24.0,30.0,5.0,93.5,2.8,96.3,0.1,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,24.0,60.0,5.0,92.9,3.4,96.3,0.1,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,24.0,180.0,5.0,93.3,3.4,96.7,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,60.0,30.0,3.0,93.4,3.1,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,60.0,30.0,5.0,94.3,2.1,96.4,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,60.0,30.0,10.0,93.8,2.7,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,60.0,60.0,3.0,92.2,4.3,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,60.0,60.0,5.0,93.3,3.1,96.4,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,60.0,60.0,10.0,93.9,2.6,96.5,0.1,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,30.0,3.0,93.6,2.9,96.5,0.1,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,30.0,5.0,94.6,1.9,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,30.0,10.0,95.6,1.6,97.2,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,60.0,5.0,95.6,1.0,96.6,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,60.0,10.0,94.6,1.2,95.8,0.4,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,90.0,5.0,94.6,1.7,96.3,0.1,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,120.0,5.0,95.1,1.5,96.6,0.3,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GRPW batch 1,90.0,180.0,5.0,94.9,1.6,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,,,,93.2,2.8,96.0,0.5,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,60.0,30.0,5.0,94.5,1.5,96.0,0.7,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,90.0,30.0,3.0,94.8,1.7,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,90.0,30.0,5.0,95.1,1.5,96.6,0.5,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,90.0,30.0,10.0,94.8,1.5,96.3,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,90.0,60.0,3.0,94.9,1.8,96.7,0.1,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,90.0,60.0,5.0,95.4,1.1,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
UK,GDPW batch 1,90.0,60.0,10.0,95.5,1.0,96.5,0.2,Extended data Table S2,https://doi.org/10.12688/openreseurope.16583.3,https://doi.org/10.5281/zenodo.8279464,UK external process-quality response; not EU-27 calibration
