"variable","needed","source","url","access","coverage","status","limitation","substitute"
"EU27 mineral CDW generation","Macro upper bound and context","Eurostat env_wasgen","https://ec.europa.eu/eurostat/databrowser/view/env_wasgen/default/table?lang=en","Public API","EU27/countries, 2010-2022, EWC-Stat W121","FOUND_PUBLIC","W121 is mineral CDW, not gypsum-specific","Use as upper bound; national gypsum-specific LoW data only where openly available"
"EU27 mineral CDW final treatment","Macro treatment context","Eurostat env_wastrt","https://ec.europa.eu/eurostat/databrowser/view/env_wastrt/default/table?lang=en","Public API","EU27/countries, 2010-2022, treatment aggregates","FOUND_PUBLIC","Does not isolate gypsum and excludes pre-treatment","Use for scenario calibration, not gypsum recycling rate"
"Non-household electricity price","LCC sensitivity","Eurostat nrg_pc_205","https://ec.europa.eu/eurostat/databrowser/view/nrg_pc_205/default/table?lang=en","Public API","EU countries, biannual, 2022 onward where available","FOUND_PUBLIC","Price is not process-specific energy consumption","Use as country-level price scenario only"
"Recovered gypsum yield by contamination batch","Core threshold transfer function","No EU27 open batch database located; individual papers report selected plants/labs","https://www.mdpi.com/2075-163X/11/2/101","Partial public literature","Selected industrial or laboratory cases","MISSING_CORE","No harmonized contamination-stratified EU dataset","Use published ranges only for exploratory bounds; do not estimate universal threshold"
"Paper/coating/wood contamination distribution","Core contamination response","No harmonized public EU27 database located","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Public report, aggregate/secondary","EU CDW context, not batch composition","MISSING_CORE","Requires sampling or plant records for identification","Scenario distributions with explicit non-identification label"
"Moisture and storage condition by batch","Drying burden and yield","No open EU27 batch database located","https://www.mdpi.com/2075-163X/11/2/101","Partial public literature","Selected facility/process cases","MISSING_CORE","No cross-country batch distribution","Literature-derived bounded scenarios only"
"Asbestos/PCB/hazardous contamination prevalence","Hard exclusion and risk branch","National regulations and technical documents, not prevalence database","https://technical-regulation-information-system.ec.europa.eu/en/notification/25701","Public official documents","Rules and quality requirements, prevalence not available","PARTIAL_PUBLIC","Cannot estimate prevalence from rules","Model as exogenous low/base/high risk scenarios"
"Process energy, chemicals, reject rates","Process LCI and LCC","JRC report; Pedreño-Rojas 2020 open manuscript; Weimann 2021 open article","https://idus.us.es/bitstream/handle/11441/102567/MANUSCRIPT.pdf?sequence=1","Public secondary data","Selected Spanish plant and German industrial range; not harmonized EU27","PARTIAL_PUBLIC","Weimann detailed original process data partly confidential; facility-specific primary data absent","Use published ranges and inventories as external benchmarks; keep facility-specific parameters probabilistic"
"Product quality and market acceptance","Closed-loop substitution","Eurogypsum criteria, EN product standards, open quality papers","https://eurogypsum.org/wp-content/uploads/2024/09/EN-Eurogypsum-Quality-Criteria-for-Recycled-Gypsum.pdf","Public documents; EN standards may be paywalled","Recommended criteria and selected tests","PARTIAL_PUBLIC","Customer specifications and full standards access may be restricted","Use public criteria as screening constraints; mark legal/contractual acceptance separately"
"Facility locations and capacities","GIS/MILP network","National waste facility registers and public web pages","https://ec.europa.eu/eurostat/cache/metadata/en/env_wasgt_esms.htm","Public but country-specific","Uneven across EU27","PARTIAL_PUBLIC","No harmonized gypsum recycler register found","Use verified facilities only; exclude unknown capacity from hard claims"
"Virgin gypsum and recycled gypsum prices","LCC break-even","No open harmonized gypsum-specific EU price series located","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Public secondary estimates, some commercial sources restricted","Case-specific or scenario data","MISSING_CORE","Market prices are dynamic and often contractual","Open price intervals and break-even price analysis, not point forecast"
"National electricity life-cycle GHG factor","Electricity climate-component sensitivity","JRC CoM open-data workbook, Table3_EU_LC","https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641","Public XLSX download","EU-27 countries, annual 1990-2021 in workbook","FOUND_PUBLIC","Latest annual source value is 2021 and factor is not process-specific","Use for dated country sensitivity; do not present as 2024/2026 factor"
"UK open gypsum contamination and quality validation","External validation of contamination trajectory and purification response","Castro-Diaz article and Zenodo record 8279464","https://doi.org/10.12688/openreseurope.16583.3; https://doi.org/10.5281/zenodo.8279464","Public article and public data deposit","England/UK; two feed types, two batches; 2024 article/data","FOUND_PUBLIC_SCOPE_LIMITED","Small selected UK laboratory batches; no EU27 population, transport, or cost coverage","Use only as external validation; retain EU27 contamination and economic claims as scenario/break-even claims"
