"dataset","freq","freq_label","siec","siec_label","nrg_cons","nrg_cons_label","unit","unit_label","tax","tax_label","currency","currency_label","geo","geo_label","time","time_label","value"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2022-S1","2022-S1","0.1634"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2022-S2","2022-S2","0.2029"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2023-S1","2023-S1","0.1893"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2023-S2","2023-S2","0.1726"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2024-S1","2024-S1","0.1512"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2024-S2","2024-S2","0.1563"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2025-S1","2025-S1","0.1514"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2025-S2","2025-S2","0.1452"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EA","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)","2022-S1","2022-S1","0.1705"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EA","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)","2022-S2","2022-S2","0.2082"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EA","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)","2023-S1","2023-S1","0.1977"
"nrg_pc_205","S","Half-yearly, semesterly","E7000","Electricity","TOT_KWH","Consumption of kWh - all bands","KWH","Kilowatt-hour","X_TAX","Excluding taxes and levies","EUR","Euro","EA","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)","2023-S2","2023-S2","0.1805"
