iso2,country,year,factor_tco2e_per_mwh,factor_kgco2e_per_kwh,factor_scope,source_dataset,source_sheet,source_url,source_doi
AT,Austria,1990,0.40529343327308,0.40529343327308,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
BE,Belgium,1990,0.471568443081213,0.471568443081213,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
BG,Bulgaria,1990,0.709482684155126,0.709482684155126,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
CY,Cyprus,1990,1.15385946398659,1.15385946398659,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
CZ,Czechia,1990,1.12032804632084,1.12032804632084,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
DE,Germany,1990,0.814236845431958,0.814236845431958,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
DK,Denmark,1990,0.589002812475672,0.589002812475672,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
EE,Estonia,1990,1.84987082760109,1.84987082760109,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
EL,Greece,1990,1.32126469845974,1.32126469845974,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
ES,Spain,1990,0.593996520602097,0.593996520602097,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
FI,Finland,1990,0.209165058243485,0.209165058243485,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
FR,France,1990,0.161198841666664,0.161198841666664,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
HR,Croatia,1990,0.288560729865176,0.288560729865176,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
HU,Hungary,1990,0.891102332716312,0.891102332716312,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
IE,Ireland,1990,1.04208974004973,1.04208974004973,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
IT,Italy,1990,0.718037511126113,0.718037511126113,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
LT,Lithuania,1990,0.305338463123163,0.305338463123163,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
LU,Luxembourg,1990,0.918218207452247,0.918218207452247,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
LV,Latvia,1990,0.0549065947137826,0.0549065947137826,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
MT,Malta,1990,2.31558563076923,2.31558563076923,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
NL,Netherlands,1990,0.757864310208076,0.757864310208076,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
PL,Poland,1990,1.41361458685354,1.41361458685354,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
PT,Portugal,1990,0.749350441669989,0.749350441669989,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
RO,Romania,1990,1.10214707874356,1.10214707874356,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
SE,Sweden,1990,0.0170062593455785,0.0170062593455785,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
SI,Slovenia,1990,0.564910592468697,0.564910592468697,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
SK,Slovakia,1990,0.601658385406525,0.601658385406525,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
AT,Austria,1991,0.417375164609355,0.417375164609355,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
BE,Belgium,1991,0.457397686564757,0.457397686564757,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
BG,Bulgaria,1991,0.870796396813183,0.870796396813183,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
CY,Cyprus,1991,1.14386515183803,1.14386515183803,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
CZ,Czechia,1991,1.12526513439553,1.12526513439553,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
DE,Germany,1991,0.813285984382624,0.813285984382624,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
DK,Denmark,1991,0.870235556007075,0.870235556007075,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
EE,Estonia,1991,1.64208691860908,1.64208691860908,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
EL,Greece,1991,1.24878639772545,1.24878639772545,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
ES,Spain,1991,0.589046518941057,0.589046518941057,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
FI,Finland,1991,0.222677994208129,0.222677994208129,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
FR,France,1991,0.18155117190541,0.18155117190541,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
