"parameter","value","unit","type","source","url","use","caveat"
"plasterboard_material_share","0.84","kg/kg incoming gypsum-board fraction","JRC modeled composition","JRC135470 p.30","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Public-data mass-balance scenario","Not a measured EU27 gypsum-only batch distribution"
"cellulose_share","0.152","kg/kg incoming gypsum-board fraction","JRC modeled composition","JRC135470 p.30","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Public-data mass-balance scenario","Not a measured EU27 gypsum-only batch distribution"
"ferrous_metal_share","0.0002","kg/kg incoming gypsum-board fraction","JRC modeled composition","JRC135470 p.30","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Public-data mass-balance scenario","Reported value is rounded and leaves an unallocated residual"
"recommended_recycled_gypsum_content_max","0.3","kg/kg new plasterboard gypsum input","JRC technical scenario","JRC135470 p.30","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Scenario constraint","Recommended maximum in the report, not a universal legal limit"
"eurogypsum_purity_min","0.8","kg/kg CaSO4路2H2O","Voluntary industry quality criterion","Eurogypsum Quality Criteria 2024 Table 2","https://eurogypsum.org/wp-content/uploads/2024/09/EN-Eurogypsum-Quality-Criteria-for-Recycled-Gypsum.pdf","Quality screening gate","Voluntary and site/customer requirements may differ"
"eurogypsum_free_moisture_max","0.1","kg/kg","Voluntary industry quality criterion","Eurogypsum Quality Criteria 2024 Table 2","https://eurogypsum.org/wp-content/uploads/2024/09/EN-Eurogypsum-Quality-Criteria-for-Recycled-Gypsum.pdf","Quality screening gate","Not EU-wide statutory EoW criterion"
"eurogypsum_toc_max","0.02","kg/kg","Voluntary industry quality criterion","Eurogypsum Quality Criteria 2024 Table 2","https://eurogypsum.org/wp-content/uploads/2024/09/EN-Eurogypsum-Quality-Criteria-for-Recycled-Gypsum.pdf","Quality screening gate","Residual paper is only one TOC component"
"eurogypsum_chloride_max","0.0001","kg/kg Cl","Voluntary industry quality criterion","Eurogypsum Quality Criteria 2024 Table 2","https://eurogypsum.org/wp-content/uploads/2024/09/EN-Eurogypsum-Quality-Criteria-for-Recycled-Gypsum.pdf","Quality screening gate","Special products may require tighter limits"
"eurogypsum_ph_range_low","5","pH","Voluntary industry quality criterion","Eurogypsum Quality Criteria 2024 Table 2","https://eurogypsum.org/wp-content/uploads/2024/09/EN-Eurogypsum-Quality-Criteria-for-Recycled-Gypsum.pdf","Quality screening gate","Screening value"
"eurogypsum_ph_range_high","9","pH","Voluntary industry quality criterion","Eurogypsum Quality Criteria 2024 Table 2","https://eurogypsum.org/wp-content/uploads/2024/09/EN-Eurogypsum-Quality-Criteria-for-Recycled-Gypsum.pdf","Quality screening gate","Screening value"
