iso2,country,factor_year,scenario,electricity_intensity_kwh_per_t_product,electricity_component_kgco2e_per_t_product,scenario_gross_dry_output_t_per_reference_input,electricity_component_kgco2e_per_t_reference_input,boundary
SE,Sweden,2021,C0_clean_selective,60.35,1.624744225690209,0.7392000000000001,1.2010109316302027,electricity component only; no JRC avoided-credit subtraction
SE,Sweden,2021,C1_moderate_selective,60.35,1.624744225690209,0.714,1.1600673771428092,electricity component only; no JRC avoided-credit subtraction
SE,Sweden,2021,C2_high_contamination,60.35,1.624744225690209,0.546,0.8871103472268541,electricity component only; no JRC avoided-credit subtraction
FI,Finland,2021,C0_clean_selective,60.35,4.431435164310025,0.7392000000000001,3.2757168734579705,electricity component only; no JRC avoided-credit subtraction
FI,Finland,2021,C1_moderate_selective,60.35,4.431435164310025,0.714,3.1640447073173577,electricity component only; no JRC avoided-credit subtraction
FI,Finland,2021,C2_high_contamination,60.35,4.431435164310025,0.546,2.419563599713274,electricity component only; no JRC avoided-credit subtraction
FR,France,2021,C0_clean_selective,60.35,5.221001708290093,0.7392000000000001,3.859364462768037,electricity component only; no JRC avoided-credit subtraction
FR,France,2021,C1_moderate_selective,60.35,5.221001708290093,0.714,3.727795219719126,electricity component only; no JRC avoided-credit subtraction
FR,France,2021,C2_high_contamination,60.35,5.221001708290093,0.546,2.8506669327263907,electricity component only; no JRC avoided-credit subtraction
LT,Lithuania,2021,C0_clean_selective,60.35,6.00689075096707,0.7392000000000001,4.440293643114859,electricity component only; no JRC avoided-credit subtraction
LT,Lithuania,2021,C1_moderate_selective,60.35,6.00689075096707,0.714,4.288919996190488,electricity component only; no JRC avoided-credit subtraction
LT,Lithuania,2021,C2_high_contamination,60.35,6.00689075096707,0.546,3.2797623500280206,electricity component only; no JRC avoided-credit subtraction
DK,Denmark,2021,C0_clean_selective,60.35,8.322178827282496,0.7392000000000001,6.151754589127222,electricity component only; no JRC avoided-credit subtraction
DK,Denmark,2021,C1_moderate_selective,60.35,8.322178827282496,0.714,5.942035682679702,electricity component only; no JRC avoided-credit subtraction
DK,Denmark,2021,C2_high_contamination,60.35,8.322178827282496,0.546,4.543909639696243,electricity component only; no JRC avoided-credit subtraction
BE,Belgium,2021,C0_clean_selective,60.35,12.580203045336612,0.7392000000000001,9.299286091112824,electricity component only; no JRC avoided-credit subtraction
BE,Belgium,2021,C1_moderate_selective,60.35,12.580203045336612,0.714,8.98226497437034,electricity component only; no JRC avoided-credit subtraction
BE,Belgium,2021,C2_high_contamination,60.35,12.580203045336612,0.546,6.868790862753791,electricity component only; no JRC avoided-credit subtraction
SI,Slovenia,2021,C0_clean_selective,60.35,14.173493310684261,0.7392000000000001,10.477046255257807,electricity component only; no JRC avoided-credit subtraction
SI,Slovenia,2021,C1_moderate_selective,60.35,14.173493310684261,0.714,10.119874223828562,electricity component only; no JRC avoided-credit subtraction
SI,Slovenia,2021,C2_high_contamination,60.35,14.173493310684261,0.546,7.738727347633607,electricity component only; no JRC avoided-credit subtraction
ES,Spain,2021,C0_clean_selective,60.35,14.264065373983964,0.7392000000000001,10.543997124448948,electricity component only; no JRC avoided-credit subtraction
ES,Spain,2021,C1_moderate_selective,60.35,14.264065373983964,0.714,10.18454267702455,electricity component only; no JRC avoided-credit subtraction
ES,Spain,2021,C2_high_contamination,60.35,14.264065373983964,0.546,7.788179694195245,electricity component only; no JRC avoided-credit subtraction
PT,Portugal,2021,C0_clean_selective,60.35,14.972233502589583,0.7392000000000001,11.067475005114222,electricity component only; no JRC avoided-credit subtraction
PT,Portugal,2021,C1_moderate_selective,60.35,14.972233502589583,0.714,10.690174720848962,electricity component only; no JRC avoided-credit subtraction
PT,Portugal,2021,C2_high_contamination,60.35,14.972233502589583,0.546,8.174839492413913,electricity component only; no JRC avoided-credit subtraction
