iso2,country,year,factor_scope,factor_kgco2e_per_kwh,pedreno_electricity_kwh_per_t_product,electricity_gwp_kgco2e_per_t_product,jrc_saving_lower_kgco2e_per_t_gypsum_fraction,jrc_saving_point_kgco2e_per_t_gypsum_fraction,jrc_saving_upper_kgco2e_per_t_gypsum_fraction,screening_note
SE,Sweden,2021,life-cycle GHG,0.0269220252806994,60.35,1.624744225690209,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
FI,Finland,2021,life-cycle GHG,0.0734289173870758,60.35,4.431435164310025,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
FR,France,2021,life-cycle GHG,0.0865120415623876,60.35,5.221001708290093,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
LT,Lithuania,2021,life-cycle GHG,0.0995342295106391,60.35,6.00689075096707,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
DK,Denmark,2021,life-cycle GHG,0.137898572117357,60.35,8.322178827282496,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
BE,Belgium,2021,life-cycle GHG,0.208454068688262,60.35,12.580203045336612,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
SI,Slovenia,2021,life-cycle GHG,0.234854901585489,60.35,14.173493310684261,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
ES,Spain,2021,life-cycle GHG,0.236355681424755,60.35,14.264065373983964,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
PT,Portugal,2021,life-cycle GHG,0.248090033182926,60.35,14.972233502589583,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
HU,Hungary,2021,life-cycle GHG,0.265641798292264,60.35,16.03148252693813,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
AT,Austria,2021,life-cycle GHG,0.281328992283434,60.35,16.978204684305243,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
LU,Luxembourg,2021,life-cycle GHG,0.333510483449843,60.35,20.127357676198027,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
EE,Estonia,2021,life-cycle GHG,0.351441147123621,60.35,21.20947322891053,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
IT,Italy,2021,life-cycle GHG,0.383324775381648,60.35,23.133650194282456,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
SK,Slovakia,2021,life-cycle GHG,0.39585242003102,60.35,23.889693548872057,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
NL,Netherlands,2021,life-cycle GHG,0.406463499759293,60.35,24.530072210473335,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
HR,Croatia,2021,life-cycle GHG,0.415837348600323,60.35,25.095783988029496,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
RO,Romania,2021,life-cycle GHG,0.418180614559811,60.35,25.23720008868459,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
LV,Latvia,2021,life-cycle GHG,0.436931769973193,60.35,26.368832317882198,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
DE,Germany,2021,life-cycle GHG,0.438488002495411,60.35,26.462750950598053,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
IE,Ireland,2021,life-cycle GHG,0.441675907790272,60.35,26.655141035142915,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
MT,Malta,2021,life-cycle GHG,0.470073546806919,60.35,28.368938549797562,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
EL,Greece,2021,life-cycle GHG,0.502412265142969,60.35,30.320580201378178,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
BG,Bulgaria,2021,life-cycle GHG,0.540301062889025,60.35,32.607169145352664,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
CZ,Czechia,2021,life-cycle GHG,0.58970226381357,60.35,35.58853162114895,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
CY,Cyprus,2021,life-cycle GHG,0.832669224929866,60.35,50.251587724517414,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
PL,Poland,2021,life-cycle GHG,0.877030250684837,60.35,52.92877562882991,66.0,85.0,104.0,Electricity component only; comparison with JRC/Caro saving benchmark is not a full LCA verdict
