scenario,parameter,relative_change,tested_value,diagnostic_margin,screen_pass,interpretation
C0_clean_selective,recovery_yield,-0.25,0.8,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,recovery_yield,-0.1,0.8,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,recovery_yield,-0.05,0.836,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,recovery_yield,0.0,0.88,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,recovery_yield,0.05,0.88,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,recovery_yield,0.1,0.88,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,recovery_yield,0.25,0.88,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_paper_fraction,-0.25,0.00375,0.242812,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_paper_fraction,-0.1,0.0045,0.241875,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_paper_fraction,-0.05,0.00475,0.241562,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_paper_fraction,0.0,0.005,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_paper_fraction,0.05,0.00525,0.240937,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_paper_fraction,0.1,0.0055,0.240625,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_paper_fraction,0.25,0.00625,0.239687,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_coating_wood_fraction,-0.25,0.00075,0.241562,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_coating_wood_fraction,-0.1,0.0009,0.241375,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_coating_wood_fraction,-0.05,0.00095,0.241312,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_coating_wood_fraction,0.0,0.001,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_coating_wood_fraction,0.05,0.00105,0.241187,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_coating_wood_fraction,0.1,0.0011,0.241125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_coating_wood_fraction,0.25,0.00125,0.240937,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_mineral_fraction,-0.25,0.00075,0.241562,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_mineral_fraction,-0.1,0.0009,0.241375,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_mineral_fraction,-0.05,0.00095,0.241312,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_mineral_fraction,0.0,0.001,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_mineral_fraction,0.05,0.00105,0.241187,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_mineral_fraction,0.1,0.0011,0.241125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,retained_mineral_fraction,0.25,0.00125,0.240937,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,free_moisture,-0.25,0.015,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,free_moisture,-0.1,0.018,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,free_moisture,-0.05,0.019,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,free_moisture,0.0,0.02,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,free_moisture,0.05,0.021,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,free_moisture,0.1,0.022,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C0_clean_selective,free_moisture,0.25,0.025,0.24125,1,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,recovery_yield,-0.25,0.8,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,recovery_yield,-0.1,0.8,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,recovery_yield,-0.05,0.8075,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,recovery_yield,0.0,0.85,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,recovery_yield,0.05,0.88,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,recovery_yield,0.1,0.88,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,recovery_yield,0.25,0.88,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_paper_fraction,-0.25,0.015,-0.25,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_paper_fraction,-0.1,0.018,-0.4,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_paper_fraction,-0.05,0.019,-0.45,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_paper_fraction,0.0,0.02,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_paper_fraction,0.05,0.021,-0.55,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_paper_fraction,0.1,0.022,-0.6,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_paper_fraction,0.25,0.025,-0.75,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_coating_wood_fraction,-0.25,0.0075,-0.375,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_coating_wood_fraction,-0.1,0.009,-0.45,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_coating_wood_fraction,-0.05,0.0095,-0.475,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_coating_wood_fraction,0.0,0.01,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_coating_wood_fraction,0.05,0.0105,-0.525,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_coating_wood_fraction,0.1,0.011,-0.55,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_coating_wood_fraction,0.25,0.0125,-0.625,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_mineral_fraction,-0.25,0.0075,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_mineral_fraction,-0.1,0.009,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_mineral_fraction,-0.05,0.0095,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_mineral_fraction,0.0,0.01,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_mineral_fraction,0.05,0.0105,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_mineral_fraction,0.1,0.011,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,retained_mineral_fraction,0.25,0.0125,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,free_moisture,-0.25,0.075,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,free_moisture,-0.1,0.09,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,free_moisture,-0.05,0.095,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,free_moisture,0.0,0.1,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,free_moisture,0.05,0.105,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,free_moisture,0.1,0.11,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C1_moderate_selective,free_moisture,0.25,0.125,-0.5,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,recovery_yield,-0.25,0.55,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,recovery_yield,-0.1,0.585,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,recovery_yield,-0.05,0.6175,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,recovery_yield,0.0,0.65,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,recovery_yield,0.05,0.6825,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,recovery_yield,0.1,0.715,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,recovery_yield,0.25,0.75,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_paper_fraction,-0.25,0.0375,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_paper_fraction,-0.1,0.045,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_paper_fraction,-0.05,0.0475,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_paper_fraction,0.0,0.05,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_paper_fraction,0.05,0.0525,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_paper_fraction,0.1,0.055,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_paper_fraction,0.25,0.0625,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_coating_wood_fraction,-0.25,0.0375,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_coating_wood_fraction,-0.1,0.045,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_coating_wood_fraction,-0.05,0.0475,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_coating_wood_fraction,0.0,0.05,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_coating_wood_fraction,0.05,0.0525,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_coating_wood_fraction,0.1,0.055,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_coating_wood_fraction,0.25,0.0625,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_mineral_fraction,-0.25,0.0375,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_mineral_fraction,-0.1,0.045,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_mineral_fraction,-0.05,0.0475,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_mineral_fraction,0.0,0.05,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_mineral_fraction,0.05,0.0525,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_mineral_fraction,0.1,0.055,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,retained_mineral_fraction,0.25,0.0625,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,free_moisture,-0.25,0.15,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,free_moisture,-0.1,0.18,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,free_moisture,-0.05,0.19,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,free_moisture,0.0,0.2,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,free_moisture,0.05,0.21,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,free_moisture,0.1,0.22,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
C2_high_contamination,free_moisture,0.25,0.25,-1.0,0,One-at-a-time sensitivity; other parameters fixed at scenario bases
