scenario,policy,screening_fields,confirmatory_field_count,decision_status,unresolved_product_acceptance,population_claim
C0_clean_selective,sequential_safe_first,hazard_flag;visible_contaminant;mass_screen;CaSO4_or_purity;TOC;product_moisture;chloride;pH,5,CONFIRMATORY_CHEMISTRY_REQUIRED,1,No population burden rate identifiable from public data
C0_clean_selective,all_confirmatory_panel_after_safety_gate,hazard_flag;visible_contaminant;CaSO4_or_purity;TOC;product_moisture;chloride;pH,5,CHEMICAL_PANEL_REQUIRED,1,No population burden rate identifiable from public data
C0_clean_selective,legacy_mass_proxy_only,hazard_flag;visible_contaminant;paper;coating_or_wood;mineral;product_moisture,0,UNSUPPORTED_FOR_PRODUCT_ACCEPTANCE,1,Not used as a product acceptance policy
C1_moderate_selective,sequential_safe_first,hazard_flag;visible_contaminant;mass_screen;CaSO4_or_purity;TOC;product_moisture;chloride;pH,5,CONFIRMATORY_CHEMISTRY_REQUIRED,1,No population burden rate identifiable from public data
C1_moderate_selective,all_confirmatory_panel_after_safety_gate,hazard_flag;visible_contaminant;CaSO4_or_purity;TOC;product_moisture;chloride;pH,5,CHEMICAL_PANEL_REQUIRED,1,No population burden rate identifiable from public data
C1_moderate_selective,legacy_mass_proxy_only,hazard_flag;visible_contaminant;paper;coating_or_wood;mineral;product_moisture,0,UNSUPPORTED_FOR_PRODUCT_ACCEPTANCE,1,Not used as a product acceptance policy
C2_high_contamination,sequential_safe_first,hazard_flag;visible_contaminant;post_treatment_recheck;CaSO4_or_purity;TOC;product_moisture;chloride;pH,5,PRETREATMENT_CANDIDATE_POST_TREATMENT_OUTCOME_UNKNOWN,1,No population burden rate identifiable from public data
C2_high_contamination,all_confirmatory_panel_after_safety_gate,hazard_flag;visible_contaminant;CaSO4_or_purity;TOC;product_moisture;chloride;pH,5,CHEMICAL_PANEL_REQUIRED,1,No population burden rate identifiable from public data
C2_high_contamination,legacy_mass_proxy_only,hazard_flag;visible_contaminant;paper;coating_or_wood;mineral;product_moisture,0,UNSUPPORTED_FOR_PRODUCT_ACCEPTANCE,1,Not used as a product acceptance policy
C3_hazardous_exclusion,sequential_safe_first,hazard_flag,0,ROUTE_OUT_HAZARD_NO_PRODUCT_PANEL,0,No population burden rate identifiable from public data
C3_hazardous_exclusion,all_confirmatory_panel_after_safety_gate,hazard_flag;visible_contaminant;CaSO4_or_purity;TOC;product_moisture;chloride;pH,0,ROUTE_OUT_HAZARD_NO_PRODUCT_PANEL,0,No population burden rate identifiable from public data
C3_hazardous_exclusion,legacy_mass_proxy_only,hazard_flag;visible_contaminant;paper;coating_or_wood;mineral;product_moisture,0,UNSUPPORTED_FOR_PRODUCT_ACCEPTANCE,1,Not used as a product acceptance policy
